78039 silly lifecycle lower-case@1.1.3~preinstall: no script for preinstall, continuing
81116 verbose linkBins ordered-ast-traverse@1.1.1
81117 verbose linkMans ordered-ast-traverse@1.1.1
81118 silly build osenv@0.1.0
81119 info linkStuff osenv@0.1.0
81120 silly linkStuff osenv@0.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81121 verbose linkBins osenv@0.1.0
81122 verbose linkMans osenv@0.1.0
81123 silly build osx-release@1.1.0
81124 info linkStuff osx-release@1.1.0
81125 silly linkStuff osx-release@1.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81126 verbose linkBins osx-release@1.1.0
81127 verbose link bins [ { 'osx-release': 'cli.js' },
81127 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
81127 verbose link bins   false ]
81128 verbose linkMans osx-release@1.1.0
81129 silly build q@0.9.7
81130 info linkStuff q@0.9.7
81131 silly linkStuff q@0.9.7 has D:\MyWorkSpace\mm-web\node_modules\p-throttler\node_modules as its parent node_modules
81132 verbose linkBins q@0.9.7
81133 verbose linkMans q@0.9.7
81134 silly build p-throttler@0.1.0
81135 info linkStuff p-throttler@0.1.0
81136 silly linkStuff p-throttler@0.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81137 verbose linkBins p-throttler@0.1.0
81138 verbose linkMans p-throttler@0.1.0
81139 silly build object-assign@0.3.1
81140 info linkStuff object-assign@0.3.1
81141 silly linkStuff object-assign@0.3.1 has D:\MyWorkSpace\mm-web\node_modules\package-json\node_modules as its parent node_modules
81142 verbose linkBins object-assign@0.3.1
81143 verbose linkMans object-assign@0.3.1
81144 silly build got@0.3.0
81145 info linkStuff got@0.3.0
81146 silly linkStuff got@0.3.0 has D:\MyWorkSpace\mm-web\node_modules\package-json\node_modules as its parent node_modules
81147 verbose linkBins got@0.3.0
81148 verbose linkMans got@0.3.0
81149 silly build pad-stdio@1.0.0
81150 info linkStuff pad-stdio@1.0.0
81151 silly linkStuff pad-stdio@1.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81152 verbose linkBins pad-stdio@1.0.0
81153 verbose linkMans pad-stdio@1.0.0
81154 silly build pako@0.2.9
81155 info linkStuff pako@0.2.9
81156 silly linkStuff pako@0.2.9 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81157 verbose linkBins pako@0.2.9
81158 verbose linkMans pako@0.2.9
81159 silly build browserify-zlib@0.1.4
81160 info linkStuff browserify-zlib@0.1.4
81161 silly linkStuff browserify-zlib@0.1.4 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81162 verbose linkBins browserify-zlib@0.1.4
81163 verbose linkMans browserify-zlib@0.1.4
81164 silly build parse-json@2.2.0
81165 info linkStuff parse-json@2.2.0
81166 silly linkStuff parse-json@2.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81167 verbose linkBins parse-json@2.2.0
81168 verbose linkMans parse-json@2.2.0
81169 silly build parse-ms@1.0.1
81170 info linkStuff parse-ms@1.0.1
81171 silly linkStuff parse-ms@1.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81172 verbose linkBins parse-ms@1.0.1
81173 verbose linkMans parse-ms@1.0.1
81174 silly build parseurl@1.3.1
81175 info linkStuff parseurl@1.3.1
81176 silly linkStuff parseurl@1.3.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81177 verbose linkBins parseurl@1.3.1
81178 verbose linkMans parseurl@1.3.1
81179 silly build method-override@2.3.7
81180 info linkStuff method-override@2.3.7
81181 silly linkStuff method-override@2.3.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81182 verbose linkBins method-override@2.3.7
81183 verbose linkMans method-override@2.3.7
81184 silly build path-is-absolute@1.0.1
81185 info linkStuff path-is-absolute@1.0.1
81186 silly linkStuff path-is-absolute@1.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81187 verbose linkBins path-is-absolute@1.0.1
81188 verbose linkMans path-is-absolute@1.0.1
81189 silly build graceful-fs@4.1.11
81190 info linkStuff graceful-fs@4.1.11
81191 silly linkStuff graceful-fs@4.1.11 has D:\MyWorkSpace\mm-web\node_modules\path-type\node_modules as its parent node_modules
81192 verbose linkBins graceful-fs@4.1.11
81193 verbose linkMans graceful-fs@4.1.11
81194 silly build pause@0.1.0
81195 info linkStuff pause@0.1.0
81196 silly linkStuff pause@0.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81197 verbose linkBins pause@0.1.0
81198 verbose linkMans pause@0.1.0
81199 silly build pify@2.3.0
81200 info linkStuff pify@2.3.0
81201 silly linkStuff pify@2.3.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81202 verbose linkBins pify@2.3.0
81203 verbose linkMans pify@2.3.0
81204 silly build pinkie@2.0.4
81205 info linkStuff pinkie@2.0.4
81206 silly linkStuff pinkie@2.0.4 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81207 verbose linkBins pinkie@2.0.4
81208 verbose linkMans pinkie@2.0.4
81209 silly build pinkie-promise@2.0.1
81210 info linkStuff pinkie-promise@2.0.1
81211 silly linkStuff pinkie-promise@2.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81212 verbose linkBins pinkie-promise@2.0.1
81213 verbose linkMans pinkie-promise@2.0.1
81214 silly build path-exists@2.1.0
81215 info linkStuff path-exists@2.1.0
81216 silly linkStuff path-exists@2.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81217 verbose linkBins path-exists@2.1.0
81218 verbose linkMans path-exists@2.1.0
81219 silly build find-up@1.1.2
81220 info linkStuff find-up@1.1.2
81221 silly linkStuff find-up@1.1.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81222 verbose linkBins find-up@1.1.2
81223 verbose linkMans find-up@1.1.2
81224 silly build path-type@1.1.0
81225 info linkStuff path-type@1.1.0
81226 silly linkStuff path-type@1.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81227 verbose linkBins path-type@1.1.0
81228 verbose linkMans path-type@1.1.0
81229 silly build pkg-up@1.0.0
81230 info linkStuff pkg-up@1.0.0
81231 silly linkStuff pkg-up@1.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81232 verbose linkBins pkg-up@1.0.0
81233 verbose linkMans pkg-up@1.0.0
81234 silly build plur@1.0.0
81235 info linkStuff plur@1.0.0
81236 silly linkStuff plur@1.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81237 verbose linkBins plur@1.0.0
81238 verbose linkMans plur@1.0.0
81239 silly build ansi-styles@1.0.0
81240 info linkStuff ansi-styles@1.0.0
81241 silly linkStuff ansi-styles@1.0.0 has D:\MyWorkSpace\mm-web\node_modules\pngquant-bin\node_modules as its parent node_modules
81242 verbose linkBins ansi-styles@1.0.0
81243 verbose linkMans ansi-styles@1.0.0
81244 silly build strip-ansi@0.1.1
81245 info linkStuff strip-ansi@0.1.1
81246 silly linkStuff strip-ansi@0.1.1 has D:\MyWorkSpace\mm-web\node_modules\pngquant-bin\node_modules as its parent node_modules
81247 verbose linkBins strip-ansi@0.1.1
81248 verbose link bins [ { 'strip-ansi': 'cli.js' },
81248 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\pngquant-bin\\node_modules\\.bin',
81248 verbose link bins   false ]
81249 verbose linkMans strip-ansi@0.1.1
81250 silly build chalk@0.4.0
81251 info linkStuff chalk@0.4.0
81252 silly linkStuff chalk@0.4.0 has D:\MyWorkSpace\mm-web\node_modules\pngquant-bin\node_modules as its parent node_modules
81253 verbose linkBins chalk@0.4.0
81254 verbose linkMans chalk@0.4.0
81255 silly build async@1.5.2
81256 info linkStuff async@1.5.2
81257 silly linkStuff async@1.5.2 has D:\MyWorkSpace\mm-web\node_modules\portscanner\node_modules as its parent node_modules
81258 verbose linkBins async@1.5.2
81259 verbose linkMans async@1.5.2
81260 silly build portscanner@1.2.0
81261 info linkStuff portscanner@1.2.0
81262 silly linkStuff portscanner@1.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81263 verbose linkBins portscanner@1.2.0
81264 verbose linkMans portscanner@1.2.0
81265 silly build pretty-ms@2.1.0
81266 info linkStuff pretty-ms@2.1.0
81267 silly linkStuff pretty-ms@2.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81268 verbose linkBins pretty-ms@2.1.0
81269 verbose linkMans pretty-ms@2.1.0
81270 silly build process-nextick-args@1.0.7
81271 info linkStuff process-nextick-args@1.0.7
81272 silly linkStuff process-nextick-args@1.0.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81273 verbose linkBins process-nextick-args@1.0.7
81274 verbose linkMans process-nextick-args@1.0.7
81275 silly build propprop@0.3.1
81276 info linkStuff propprop@0.3.1
81277 silly linkStuff propprop@0.3.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81278 verbose linkBins propprop@0.3.1
81279 verbose linkMans propprop@0.3.1
81280 silly build proto-list@1.2.4
81281 info linkStuff proto-list@1.2.4
81282 silly linkStuff proto-list@1.2.4 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81283 verbose linkBins proto-list@1.2.4
81284 verbose linkMans proto-list@1.2.4
81285 silly build config-chain@1.1.11
81286 info linkStuff config-chain@1.1.11
81287 silly linkStuff config-chain@1.1.11 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81288 verbose linkBins config-chain@1.1.11
81289 verbose linkMans config-chain@1.1.11
81290 silly build once@1.2.0
81291 info linkStuff once@1.2.0
81292 silly linkStuff once@1.2.0 has D:\MyWorkSpace\mm-web\node_modules\pump\node_modules as its parent node_modules
81293 verbose linkBins once@1.2.0
81294 verbose linkMans once@1.2.0
81295 silly build punycode@1.4.1
81296 info linkStuff punycode@1.4.1
81297 silly linkStuff punycode@1.4.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81298 verbose linkBins punycode@1.4.1
81299 verbose linkMans punycode@1.4.1
81300 silly build tough-cookie@0.12.1
81301 info linkStuff tough-cookie@0.12.1
81302 silly linkStuff tough-cookie@0.12.1 has D:\MyWorkSpace\mm-web\node_modules\insight\node_modules as its parent node_modules
81303 verbose linkBins tough-cookie@0.12.1
81304 verbose linkMans tough-cookie@0.12.1
81305 silly build q@1.0.1
81306 info linkStuff q@1.0.1
81307 silly linkStuff q@1.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81308 verbose linkBins q@1.0.1
81309 verbose linkMans q@1.0.1
81310 silly build qs@4.0.0
81311 info linkStuff qs@4.0.0
81312 silly linkStuff qs@4.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81313 verbose linkBins qs@4.0.0
81314 verbose linkMans qs@4.0.0
81315 silly build random-bytes@1.0.0
81316 info linkStuff random-bytes@1.0.0
81317 silly linkStuff random-bytes@1.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81318 verbose linkBins random-bytes@1.0.0
81319 verbose linkMans random-bytes@1.0.0
81320 silly build range-parser@1.0.3
81321 info linkStuff range-parser@1.0.3
81322 silly linkStuff range-parser@1.0.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81323 verbose linkBins range-parser@1.0.3
81324 verbose linkMans range-parser@1.0.3
81325 silly build bytes@2.4.0
81326 info linkStuff bytes@2.4.0
81327 silly linkStuff bytes@2.4.0 has D:\MyWorkSpace\mm-web\node_modules\raw-body\node_modules as its parent node_modules
81328 verbose linkBins bytes@2.4.0
81329 verbose linkMans bytes@2.4.0
81330 silly build iconv-lite@0.4.13
81331 info linkStuff iconv-lite@0.4.13
81332 silly linkStuff iconv-lite@0.4.13 has D:\MyWorkSpace\mm-web\node_modules\raw-body\node_modules as its parent node_modules
81333 verbose linkBins iconv-lite@0.4.13
81334 verbose linkMans iconv-lite@0.4.13
81335 silly build read@1.0.7
81336 info linkStuff read@1.0.7
81337 silly linkStuff read@1.0.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81338 verbose linkBins read@1.0.7
81339 verbose linkMans read@1.0.7
81340 silly build promptly@0.2.0
81341 info linkStuff promptly@0.2.0
81342 silly linkStuff promptly@0.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81343 verbose linkBins promptly@0.2.0
81344 verbose linkMans promptly@0.2.0
81345 silly build ansi-regex@1.1.1
81346 info linkStuff ansi-regex@1.1.1
81347 silly linkStuff ansi-regex@1.1.1 has D:\MyWorkSpace\mm-web\node_modules\readline2\node_modules as its parent node_modules
81348 verbose linkBins ansi-regex@1.1.1
81349 verbose linkMans ansi-regex@1.1.1
81350 silly build strip-ansi@2.0.1
81351 info linkStuff strip-ansi@2.0.1
81352 silly linkStuff strip-ansi@2.0.1 has D:\MyWorkSpace\mm-web\node_modules\readline2\node_modules as its parent node_modules
81353 verbose linkBins strip-ansi@2.0.1
81354 verbose link bins [ { 'strip-ansi': 'cli.js' },
81354 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\readline2\\node_modules\\.bin',
81354 verbose link bins   false ]
81355 verbose linkMans strip-ansi@2.0.1
81356 silly build readline2@0.1.1
81357 info linkStuff readline2@0.1.1
81358 silly linkStuff readline2@0.1.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81359 verbose linkBins readline2@0.1.1
81360 verbose linkMans readline2@0.1.1
81361 silly build redeyed@0.4.4
81362 info linkStuff redeyed@0.4.4
81363 silly linkStuff redeyed@0.4.4 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81364 verbose linkBins redeyed@0.4.4
81365 verbose linkMans redeyed@0.4.4
81366 silly build cardinal@0.4.0
81367 info linkStuff cardinal@0.4.0
81368 silly linkStuff cardinal@0.4.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81369 verbose linkBins cardinal@0.4.0
81370 verbose link bins [ { cdl: './bin/cdl.js' },
81370 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
81370 verbose link bins   false ]
81371 verbose linkMans cardinal@0.4.0
81372 silly build regexp-quote@0.0.0
81373 info linkStuff regexp-quote@0.0.0
81374 silly linkStuff regexp-quote@0.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81375 verbose linkBins regexp-quote@0.0.0
81376 verbose linkMans regexp-quote@0.0.0
81377 silly build relateurl@0.2.7
81378 info linkStuff relateurl@0.2.7
81379 silly linkStuff relateurl@0.2.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81380 verbose linkBins relateurl@0.2.7
81381 verbose linkMans relateurl@0.2.7
81382 silly build repeating@2.0.1
81383 info linkStuff repeating@2.0.1
81384 silly linkStuff repeating@2.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81385 verbose linkBins repeating@2.0.1
81386 verbose linkMans repeating@2.0.1
81387 silly build indent-string@2.1.0
81388 info linkStuff indent-string@2.1.0
81389 silly linkStuff indent-string@2.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81390 verbose linkBins indent-string@2.1.0
81391 verbose linkMans indent-string@2.1.0
81392 silly build qs@6.3.0
81393 info linkStuff qs@6.3.0
81394 silly linkStuff qs@6.3.0 has D:\MyWorkSpace\mm-web\node_modules\request\node_modules as its parent node_modules
81395 verbose linkBins qs@6.3.0
81396 verbose linkMans qs@6.3.0
81397 silly build uuid@3.0.1
81398 info linkStuff uuid@3.0.1
81399 silly linkStuff uuid@3.0.1 has D:\MyWorkSpace\mm-web\node_modules\request\node_modules as its parent node_modules
81400 verbose linkBins uuid@3.0.1
81401 verbose link bins [ { uuid: './bin/uuid' },
81401 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\request\\node_modules\\.bin',
81401 verbose link bins   false ]
81402 verbose linkMans uuid@3.0.1
81403 silly build resolve@1.1.7
81404 info linkStuff resolve@1.1.7
81405 silly linkStuff resolve@1.1.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81406 verbose linkBins resolve@1.1.7
81407 verbose linkMans resolve@1.1.7
81408 silly build resolve-from@2.0.0
81409 info linkStuff resolve-from@2.0.0
81410 silly linkStuff resolve-from@2.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81411 verbose linkBins resolve-from@2.0.0
81412 verbose linkMans resolve-from@2.0.0
81413 silly build resolve-pkg@0.1.0
81414 info linkStuff resolve-pkg@0.1.0
81415 silly linkStuff resolve-pkg@0.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81416 verbose linkBins resolve-pkg@0.1.0
81417 verbose linkMans resolve-pkg@0.1.0
81418 silly build depd@1.1.0
81419 info linkStuff depd@1.1.0
81420 silly linkStuff depd@1.1.0 has D:\MyWorkSpace\mm-web\node_modules\response-time\node_modules as its parent node_modules
81421 verbose linkBins depd@1.1.0
81422 verbose linkMans depd@1.1.0
81423 silly build response-time@2.3.2
81424 info linkStuff response-time@2.3.2
81425 silly linkStuff response-time@2.3.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81426 verbose linkBins response-time@2.3.2
81427 verbose linkMans response-time@2.3.2
81428 silly build retry@0.6.0
81429 info linkStuff retry@0.6.0
81430 silly linkStuff retry@0.6.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81431 verbose linkBins retry@0.6.0
81432 verbose linkMans retry@0.6.0
81433 silly build request-replay@0.2.0
81434 info linkStuff request-replay@0.2.0
81435 silly linkStuff request-replay@0.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81436 verbose linkBins request-replay@0.2.0
81437 verbose linkMans request-replay@0.2.0
81438 silly build rimraf@2.2.8
81439 info linkStuff rimraf@2.2.8
81440 silly linkStuff rimraf@2.2.8 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81441 verbose linkBins rimraf@2.2.8
81442 verbose link bins [ { rimraf: './bin.js' },
81442 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
81442 verbose link bins   false ]
81443 verbose linkMans rimraf@2.2.8
81444 silly build fstream@0.1.31
81445 info linkStuff fstream@0.1.31
81446 silly linkStuff fstream@0.1.31 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81447 verbose linkBins fstream@0.1.31
81448 verbose linkMans fstream@0.1.31
81449 silly build fstream@1.0.10
81450 info linkStuff fstream@1.0.10
81451 silly linkStuff fstream@1.0.10 has D:\MyWorkSpace\mm-web\node_modules\fstream-ignore\node_modules as its parent node_modules
81452 verbose linkBins fstream@1.0.10
81453 verbose linkMans fstream@1.0.10
81454 silly build fstream-ignore@1.0.5
81455 info linkStuff fstream-ignore@1.0.5
81456 silly linkStuff fstream-ignore@1.0.5 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81457 verbose linkBins fstream-ignore@1.0.5
81458 verbose linkMans fstream-ignore@1.0.5
81459 silly build fstream@1.0.10
81460 info linkStuff fstream@1.0.10
81461 silly linkStuff fstream@1.0.10 has D:\MyWorkSpace\mm-web\node_modules\google-cdn\node_modules as its parent node_modules
81462 verbose linkBins fstream@1.0.10
81463 verbose linkMans fstream@1.0.10
81464 silly build rndm@1.2.0
81465 info linkStuff rndm@1.2.0
81466 silly linkStuff rndm@1.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81467 verbose linkBins rndm@1.2.0
81468 verbose linkMans rndm@1.2.0
81469 silly build rx@2.5.3
81470 info linkStuff rx@2.5.3
81471 silly linkStuff rx@2.5.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81472 verbose linkBins rx@2.5.3
81473 verbose linkMans rx@2.5.3
81474 silly build sax@1.1.6
81475 info linkStuff sax@1.1.6
81476 silly linkStuff sax@1.1.6 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81477 verbose linkBins sax@1.1.6
81478 verbose linkMans sax@1.1.6
81479 silly build semver@5.3.0
81480 info linkStuff semver@5.3.0
81481 silly linkStuff semver@5.3.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81482 verbose linkBins semver@5.3.0
81483 verbose link bins [ { semver: './bin/semver' },
81483 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
81483 verbose link bins   false ]
81484 verbose linkMans semver@5.3.0
81485 silly build semver@2.3.2
81486 info linkStuff semver@2.3.2
81487 silly linkStuff semver@2.3.2 has D:\MyWorkSpace\mm-web\node_modules\semver-diff\node_modules as its parent node_modules
81488 verbose linkBins semver@2.3.2
81489 verbose link bins [ { semver: './bin/semver' },
81489 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\semver-diff\\node_modules\\.bin',
81489 verbose link bins   false ]
81490 verbose linkMans semver@2.3.2
81491 silly build semver-diff@0.1.0
81492 info linkStuff semver-diff@0.1.0
81493 silly linkStuff semver-diff@0.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81494 verbose linkBins semver-diff@0.1.0
81495 verbose linkMans semver-diff@0.1.0
81496 silly build depd@1.1.0
81497 info linkStuff depd@1.1.0
81498 silly linkStuff depd@1.1.0 has D:\MyWorkSpace\mm-web\node_modules\send\node_modules as its parent node_modules
81499 verbose linkBins depd@1.1.0
81500 verbose linkMans depd@1.1.0
81501 silly build statuses@1.2.1
81502 info linkStuff statuses@1.2.1
81503 silly linkStuff statuses@1.2.1 has D:\MyWorkSpace\mm-web\node_modules\send\node_modules as its parent node_modules
81504 verbose linkBins statuses@1.2.1
81505 verbose linkMans statuses@1.2.1
81506 silly build sentence-case@1.1.3
81507 info linkStuff sentence-case@1.1.3
81508 silly linkStuff sentence-case@1.1.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81509 verbose linkBins sentence-case@1.1.3
81510 verbose linkMans sentence-case@1.1.3
81511 silly build dot-case@1.1.2
81512 info linkStuff dot-case@1.1.2
81513 silly linkStuff dot-case@1.1.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81514 verbose linkBins dot-case@1.1.2
81515 verbose linkMans dot-case@1.1.2
81516 silly build param-case@1.1.2
81517 info linkStuff param-case@1.1.2
81518 silly linkStuff param-case@1.1.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81519 verbose linkBins param-case@1.1.2
81520 verbose linkMans param-case@1.1.2
81521 silly build path-case@1.1.2
81522 info linkStuff path-case@1.1.2
81523 silly linkStuff path-case@1.1.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81524 verbose linkBins path-case@1.1.2
81525 verbose linkMans path-case@1.1.2
81526 silly build ms@0.7.2
81527 info linkStuff ms@0.7.2
81528 silly linkStuff ms@0.7.2 has D:\MyWorkSpace\mm-web\node_modules\serve-favicon\node_modules as its parent node_modules
81529 verbose linkBins ms@0.7.2
81530 verbose linkMans ms@0.7.2
81531 silly build serve-favicon@2.3.2
81532 info linkStuff serve-favicon@2.3.2
81533 silly linkStuff serve-favicon@2.3.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81534 verbose linkBins serve-favicon@2.3.2
81535 verbose linkMans serve-favicon@2.3.2
81536 silly build set-immediate-shim@1.0.1
81537 info linkStuff set-immediate-shim@1.0.1
81538 silly linkStuff set-immediate-shim@1.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81539 verbose linkBins set-immediate-shim@1.0.1
81540 verbose linkMans set-immediate-shim@1.0.1
81541 silly build each-async@1.1.1
81542 info linkStuff each-async@1.1.1
81543 silly linkStuff each-async@1.1.1 has D:\MyWorkSpace\mm-web\node_modules\grunt-svgmin\node_modules as its parent node_modules
81544 verbose linkBins each-async@1.1.1
81545 verbose linkMans each-async@1.1.1
81546 silly build shell-quote@1.4.3
81547 info linkStuff shell-quote@1.4.3
81548 silly linkStuff shell-quote@1.4.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81549 verbose linkBins shell-quote@1.4.3
81550 verbose linkMans shell-quote@1.4.3
81551 silly build shelljs@0.3.0
81552 info linkStuff shelljs@0.3.0
81553 silly linkStuff shelljs@0.3.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81554 verbose linkBins shelljs@0.3.0
81555 verbose link bins [ { shjs: './bin/shjs' },
81555 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
81555 verbose link bins   false ]
81556 verbose linkMans shelljs@0.3.0
81557 silly build sigmund@1.0.1
81558 info linkStuff sigmund@1.0.1
81559 silly linkStuff sigmund@1.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81560 verbose linkBins sigmund@1.0.1
81561 verbose linkMans sigmund@1.0.1
81562 silly build minimatch@0.3.0
81563 info linkStuff minimatch@0.3.0
81564 silly linkStuff minimatch@0.3.0 has D:\MyWorkSpace\mm-web\node_modules\cli\node_modules as its parent node_modules
81565 verbose linkBins minimatch@0.3.0
81566 verbose linkMans minimatch@0.3.0
81567 silly build glob@3.2.11
81568 info linkStuff glob@3.2.11
81569 silly linkStuff glob@3.2.11 has D:\MyWorkSpace\mm-web\node_modules\cli\node_modules as its parent node_modules
81570 verbose linkBins glob@3.2.11
81571 verbose linkMans glob@3.2.11
81572 silly build cli@0.6.6
81573 info linkStuff cli@0.6.6
81574 silly linkStuff cli@0.6.6 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81575 verbose linkBins cli@0.6.6
81576 verbose linkMans cli@0.6.6
81577 silly build minimatch@0.3.0
81578 info linkStuff minimatch@0.3.0
81579 silly linkStuff minimatch@0.3.0 has D:\MyWorkSpace\mm-web\node_modules\findup-sync\node_modules as its parent node_modules
81580 verbose linkBins minimatch@0.3.0
81581 verbose linkMans minimatch@0.3.0
81582 silly build glob@3.2.11
81583 info linkStuff glob@3.2.11
81584 silly linkStuff glob@3.2.11 has D:\MyWorkSpace\mm-web\node_modules\findup-sync\node_modules as its parent node_modules
81585 verbose linkBins glob@3.2.11
81586 verbose linkMans glob@3.2.11
81587 silly build findup-sync@0.1.3
81588 info linkStuff findup-sync@0.1.3
81589 silly linkStuff findup-sync@0.1.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81590 verbose linkBins findup-sync@0.1.3
81591 verbose linkMans findup-sync@0.1.3
81592 silly build minimatch@1.0.0
81593 info linkStuff minimatch@1.0.0
81594 silly linkStuff minimatch@1.0.0 has D:\MyWorkSpace\mm-web\node_modules\google-cdn\node_modules as its parent node_modules
81595 verbose linkBins minimatch@1.0.0
81596 verbose linkMans minimatch@1.0.0
81597 silly build minimatch@0.2.14
81598 info linkStuff minimatch@0.2.14
81599 silly linkStuff minimatch@0.2.14 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81600 verbose linkBins minimatch@0.2.14
81601 verbose linkMans minimatch@0.2.14
81602 silly build glob@3.1.21
81603 info linkStuff glob@3.1.21
81604 silly linkStuff glob@3.1.21 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81605 verbose linkBins glob@3.1.21
81606 verbose linkMans glob@3.1.21
81607 silly build globule@0.1.0
81608 info linkStuff globule@0.1.0
81609 silly linkStuff globule@0.1.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81610 verbose linkBins globule@0.1.0
81611 verbose linkMans globule@0.1.0
81612 silly build gaze@0.5.2
81613 info linkStuff gaze@0.5.2
81614 silly linkStuff gaze@0.5.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81615 verbose linkBins gaze@0.5.2
81616 verbose linkMans gaze@0.5.2
81617 silly build signal-exit@3.0.2
81618 info linkStuff signal-exit@3.0.2
81619 silly linkStuff signal-exit@3.0.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
81620 verbose linkBins signal-exit@3.0.2
